country_name,league_name,league_id,home_team_api_id,away_team_api_id,season,date,home_team_goal,away_team_goal,home_team,away_team
Switzerland,Switzerland Super League,24558,10192,9931,2008/2009,2008-07-18 00:00:00,1,2,BSC Young Boys,FC Basel
Switzerland,Switzerland Super League,24558,9930,10179,2008/2009,2008-07-19 00:00:00,3,1,FC Aarau,FC Sion
Switzerland,Switzerland Super League,24558,10199,9824,2008/2009,2008-07-20 00:00:00,1,2,FC Luzern,FC Vaduz
Switzerland,Switzerland Super League,24558,7955,10243,2008/2009,2008-07-20 00:00:00,1,2,Neuchâtel Xamax,FC Zürich
Switzerland,Switzerland Super League,24558,9931,9956,2008/2009,2008-07-23 00:00:00,1,0,FC Basel,Grasshopper Club Zürich
Switzerland,Switzerland Super League,24558,6493,7955,2008/2009,2008-07-23 00:00:00,1,2,AC Bellinzona,Neuchâtel Xamax
Switzerland,Switzerland Super League,24558,10243,10199,2008/2009,2008-07-23 00:00:00,1,0,FC Zürich,FC Luzern
Switzerland,Switzerland Super League,24558,10179,10192,2008/2009,2008-07-24 00:00:00,2,1,FC Sion,BSC Young Boys
Switzerland,Switzerland Super League,24558,9824,9930,2008/2009,2008-07-24 00:00:00,0,2,FC Vaduz,FC Aarau
Switzerland,Switzerland Super League,24558,9931,6493,2008/2009,2008-07-26 00:00:00,2,0,FC Basel,AC Bellinzona
Switzerland,Switzerland Super League,24558,10199,7955,2008/2009,2008-07-26 00:00:00,0,1,FC Luzern,Neuchâtel Xamax
Switzerland,Switzerland Super League,24558,9930,10243,2008/2009,2008-07-27 00:00:00,2,1,FC Aarau,FC Zürich
Switzerland,Switzerland Super League,24558,10192,9824,2008/2009,2008-07-27 00:00:00,0,0,BSC Young Boys,FC Vaduz
Switzerland,Switzerland Super League,24558,9956,10179,2008/2009,2008-07-30 00:00:00,3,1,Grasshopper Club Zürich,FC Sion
Switzerland,Switzerland Super League,24558,10179,9931,2008/2009,2008-08-02 00:00:00,2,0,FC Sion,FC Basel
Switzerland,Switzerland Super League,24558,7955,9930,2008/2009,2008-08-02 00:00:00,0,0,Neuchâtel Xamax,FC Aarau
Switzerland,Switzerland Super League,24558,6493,10199,2008/2009,2008-08-03 00:00:00,2,2,AC Bellinzona,FC Luzern
Switzerland,Switzerland Super League,24558,9824,9956,2008/2009,2008-08-03 00:00:00,1,1,FC Vaduz,Grasshopper Club Zürich
Switzerland,Switzerland Super League,24558,10243,10192,2008/2009,2008-08-03 00:00:00,2,1,FC Zürich,BSC Young Boys
Switzerland,Switzerland Super League,24558,6493,9930,2008/2009,2008-08-06 00:00:00,1,1,AC Bellinzona,FC Aarau
Poland,Poland Ekstraklasa,15722,8673,2183,2008/2009,2008-08-08 00:00:00,2,2,Legia Warszawa,P. Warszawa
Poland,Poland Ekstraklasa,15722,2182,8569,2008/2009,2008-08-08 00:00:00,2,3,Lech Poznań,GKS Bełchatów
France,France Ligue 1,4769,8583,9830,2008/2009,2008-08-09 00:00:00,2,1,AJ Auxerre,FC Nantes
France,France Ligue 1,4769,9827,7819,2008/2009,2008-08-09 00:00:00,2,1,Girondins de Bordeaux,SM Caen
France,France Ligue 1,4769,9746,9831,2008/2009,2008-08-09 00:00:00,1,0,Le Havre AC,OGC Nice
France,France Ligue 1,4769,8682,8689,2008/2009,2008-08-09 00:00:00,0,1,Le Mans FC,FC Lorient
France,France Ligue 1,4769,9829,9847,2008/2009,2008-08-09 00:00:00,1,0,AS Monaco,Paris Saint-Germain
France,France Ligue 1,4769,8481,8639,2008/2009,2008-08-09 00:00:00,0,0,AS Nancy-Lorraine,LOSC Lille
France,France Ligue 1,4769,9851,8592,2008/2009,2008-08-09 00:00:00,4,4,Stade Rennais FC,Olympique de Marseille
France,France Ligue 1,4769,9874,9855,2008/2009,2008-08-09 00:00:00,1,2,FC Sochaux-Montbéliard,Grenoble Foot 38
France,France Ligue 1,4769,9873,9853,2008/2009,2008-08-09 00:00:00,1,0,Valenciennes FC,AS Saint-Étienne
Poland,Poland Ekstraklasa,15722,10265,8031,2008/2009,2008-08-09 00:00:00,1,0,Wisła Kraków,Polonia Bytom
Poland,Poland Ekstraklasa,15722,8025,8030,2008/2009,2008-08-09 00:00:00,1,1,Śląsk Wrocław,Lechia Gdańsk
Poland,Poland Ekstraklasa,15722,8244,8242,2008/2009,2008-08-09 00:00:00,0,0,Widzew Łódź,Odra Wodzisław
Poland,Poland Ekstraklasa,15722,8028,2186,2008/2009,2008-08-09 00:00:00,2,0,Piast Gliwice,Cracovia
Scotland,Scotland Premier League,19694,8596,8548,2008/2009,2008-08-09 00:00:00,0,1,Falkirk,Rangers
Scotland,Scotland Premier League,19694,9860,9927,2008/2009,2008-08-09 00:00:00,3,2,Heart of Midlothian,Motherwell
Scotland,Scotland Premier League,19694,8597,10251,2008/2009,2008-08-09 00:00:00,1,0,Kilmarnock,Hibernian
Scotland,Scotland Premier League,19694,8485,8066,2008/2009,2008-08-09 00:00:00,0,2,Aberdeen,Inverness Caledonian Thistle
Switzerland,Switzerland Super League,24558,9930,10199,2008/2009,2008-08-09 00:00:00,1,0,FC Aarau,FC Luzern
